Date,AAPL,MSFT
2016-01-04,23.776182174682617,48.07326126098633
2016-01-05,23.18036460876465,48.29256820678711
2016-01-06,22.726734161376953,47.41532897949219
2016-01-07,21.767555236816406,45.76609802246094
2016-01-08,21.882659912109375,45.90647506713867
2016-01-11,22.236988067626953,45.8801383972168
2016-01-12,22.55971908569336,46.30122756958008
2016-01-13,21.979707717895508,45.3011589050293
2016-01-14,22.46042251586914,46.590721130371094
2016-01-15,21.9210262298584,44.73094940185547
2016-01-19,21.814952850341797,44.35372543334961
2016-01-20,21.844301223754883,44.555503845214844
2016-01-21,21.733707427978516,44.28355026245117
2016-01-22,22.88922691345215,45.871360778808594
2016-01-25,22.442365646362305,45.43275833129883
2016-01-26,22.56649398803711,45.76609802246094
2016-01-27,21.083724975585938,44.932708740234375
2016-01-28,21.23493766784668,45.66960525512695
2016-01-29,21.968427658081055,48.32765579223633
2016-02-01,21.763046264648438,47.99431610107422
2016-02-02,21.322952270507812,46.49422836303711
2016-02-03,21.744991302490234,45.757328033447266
2016-02-04,21.919708251953125,45.61697769165039
2016-02-05,21.33428382873535,44.002830505371094
2016-02-08,21.558921813964844,43.34489440917969
2016-02-09,21.554384231567383,43.23085021972656
2016-02-10,21.391006469726562,43.608070373535156
2016-02-11,21.26167106628418,43.59052658081055
2016-02-12,21.327468872070312,44.30109405517578
2016-02-16,21.928781509399414,45.140464782714844
2016-02-17,22.26462173461914,46.31557846069336
2016-02-18,21.84256362915039,46.112361907958984
2016-02-19,21.792644500732422,45.78546142578125
2016-02-22,21.98325538635254,46.518795013427734
2016-02-23,21.486312866210938,45.21998596191406
2016-02-24,21.806259155273438,45.3790168762207
2016-02-25,21.956018447875977,46.032833099365234
2016-02-26,21.99005889892578,45.326011657714844
2016-02-29,21.94013023376465,44.954933166503906
2016-03-01,22.81147575378418,46.45696258544922
2016-03-02,22.86139678955078,46.78386306762695
2016-03-03,23.031583786010742,46.25373840332031
2016-03-04,23.37421989440918,45.97099304199219
2016-03-07,23.11554527282715,45.08745193481445
2016-03-08,22.924928665161133,45.63524627685547
2016-03-09,22.945354461669922,46.686668395996094
2016-03-10,22.956701278686523,45.98866271972656
2016-03-11,23.20403480529785,46.889892578125
2016-03-14,23.263036727905273,46.97824478149414
2016-03-15,23.730470657348633,47.349342346191406
2016-03-16,24.04587745666504,48.02082824707031
2016-03-17,24.007307052612305,48.29472732543945
2016-03-18,24.034530639648438,47.26097106933594
2016-03-21,24.03226661682129,47.587890625
2016-03-22,24.216064453125,47.7734375
2016-03-23,24.082185745239258,47.68508529663086
2016-03-24,23.977802276611328,47.89713668823242
2016-03-28,23.8688907623291,47.305145263671875
2016-03-29,24.433900833129883,48.33890914916992
2016-03-30,24.860488891601562,48.639305114746094
2016-03-31,24.73116111755371,48.7983512878418
2016-04-01,24.95806312561035,49.0987663269043
2016-04-04,25.214475631713867,48.97504806518555
2016-04-05,24.917221069335938,48.206382751464844
2016-04-06,25.178173065185547,48.7011604309082
2016-04-07,24.629045486450195,48.118019104003906
2016-04-08,24.656278610229492,48.082679748535156
2016-04-11,24.73796272277832,47.98548126220703
2016-04-12,25.060178756713867,48.28589630126953
2016-04-13,25.42323875427246,48.90438461303711
2016-04-14,25.436847686767578,48.913211822509766
2016-04-15,24.926300048828125,49.1694450378418
2016-04-18,24.388513565063477,49.885128021240234
2016-04-19,24.25918197631836,49.823272705078125
2016-04-20,24.30909538269043,49.116432189941406
2016-04-21,24.04587745666504,49.284297943115234
2016-04-22,23.980079650878906,45.75012969970703
2016-04-25,23.84392738342285,46.04167556762695
2016-04-26,23.67828369140625,45.44972229003906
2016-04-27,22.196548461914062,45.007938385009766
2016-04-28,21.51807975769043,44.08904266357422
2016-04-29,21.2707462310791,44.062522888183594
2016-05-02,21.2480525970459,44.71636199951172
2016-05-03,21.597503662109375,43.98301696777344
2016-05-04,21.372852325439453,44.062522888183594
2016-05-05,21.286104202270508,44.1243782043457
2016-05-06,21.167388916015625,44.521976470947266
2016-05-09,21.183366775512695,44.2392463684082
2016-05-10,21.327199935913086,45.0786247253418
2016-05-11,21.11945152282715,45.10511779785156
2016-05-12,20.62404441833496,45.51155090332031
2016-05-13,20.665145874023438,45.13163375854492
2016-05-16,21.432212829589844,45.794288635253906
2016-05-17,21.343175888061523,44.940147399902344
2016-05-18,21.587451934814453,45.20707321166992
2016-05-19,21.505268096923828,44.77110290527344
2016-05-20,21.738126754760742,45.03801345825195
2016-05-23,22.014360427856445,44.5130729675293
2016-05-24,22.34994888305664,45.90105438232422
2016-05-25,22.742618560791016,46.37261199951172
2016-05-26,22.922969818115234,46.16797637939453
2016-05-27,22.909265518188477,46.55055618286133
2016-05-31,22.79741096496582,47.15556716918945
2016-06-01,22.477794647216797,47.02210998535156
2016-06-02,22.308862686157227,46.69292068481445
2016-06-03,22.354520797729492,46.079002380371094
2016-06-06,22.5166015625,46.38151550292969
2016-06-07,22.607921600341797,46.35481262207031
2016-06-08,22.58737564086914,46.30143737792969
2016-06-09,22.749467849731445,45.927738189697266
2016-06-10,22.562265396118164,45.803184509277344
2016-06-13,22.222105026245117,44.61094284057617
2016-06-14,22.249502182006836,44.33514404296875
2016-06-15,22.17644691467285,44.210575103759766
2016-06-16,22.270050048828125,44.83338165283203
2016-06-17,21.76323699951172,44.6020622253418
2016-06-20,21.71072769165039,44.548675537109375
2016-06-21,21.895648956298828,45.5451545715332
2016-06-22,21.81345558166504,45.367225646972656
2016-06-23,21.939022064208984,46.18577194213867
2016-06-24,21.322633743286133,44.33514404296875
